Bus,Method,Threshold,Accuracy,Precision,Recall,F1 Score,Detection Time
Bus115,Individual CUSUM,5,0.783625730994152,0.38666666666666666,0.17261904761904762,0.23868312757201646,609
Bus116,Individual CUSUM,5,0.735672514619883,0.421195652173913,0.9226190476190477,0.5783582089552238,16
Bus117,Individual CUSUM,5,0.7064327485380117,0.2356687898089172,0.22023809523809523,0.2276923076923077,58
Bus118,Individual CUSUM,5,0.52046783625731,0.2091346153846154,0.5178571428571429,0.2979452054794521,18
Bus119,Individual CUSUM,5,0.783625730994152,0.41904761904761906,0.2619047619047619,0.32234432234432236,101
Bus121,Individual CUSUM,5,0.7321637426900585,0.3944636678200692,0.6785714285714286,0.4989059080962801,524
Bus135,Individual CUSUM,5,0.49473684210526314,0.2777777777777778,0.9821428571428571,0.4330708661417323,108
Bus139,Individual CUSUM,5,0.6631578947368421,0.3125,0.5952380952380952,0.4098360655737705,131
Bus115,Individual CUSUM,10,0.8035087719298246,0.0,0.0,0.0,-1
Bus116,Individual CUSUM,10,0.7555555555555555,0.4402332361516035,0.8988095238095238,0.5909980430528375,487
Bus117,Individual CUSUM,10,0.8035087719298246,0.0,0.0,0.0,-1
Bus118,Individual CUSUM,10,0.6514619883040935,0.18137254901960784,0.22023809523809523,0.1989247311827957,36
Bus119,Individual CUSUM,10,0.8035087719298246,0.0,0.0,0.0,-1
Bus121,Individual CUSUM,10,0.8526315789473684,0.6640625,0.5059523809523809,0.5743243243243243,553
Bus135,Individual CUSUM,10,0.6678362573099416,0.3619047619047619,0.9047619047619048,0.5170068027210885,138
Bus139,Individual CUSUM,10,0.6210526315789474,0.16379310344827586,0.2261904761904762,0.19,586
Bus115,Individual CUSUM,15,0.8035087719298246,0.0,0.0,0.0,-1
Bus116,Individual CUSUM,15,0.7590643274853801,0.4437869822485207,0.8928571428571429,0.5928853754940712,488
Bus117,Individual CUSUM,15,0.8035087719298246,0.0,0.0,0.0,-1
Bus118,Individual CUSUM,15,0.6888888888888889,0.028846153846153848,0.017857142857142856,0.022058823529411766,55
Bus119,Individual CUSUM,15,0.8035087719298246,0.0,0.0,0.0,-1
Bus121,Individual CUSUM,15,0.8035087719298246,0.0,0.0,0.0,-1
Bus135,Individual CUSUM,15,0.7146198830409357,0.39385474860335196,0.8392857142857143,0.5361216730038023,331
Bus139,Individual CUSUM,15,0.6269005847953216,0.12060301507537688,0.14285714285714285,0.1307901907356948,610
