Method,Detection Time,Accuracy,Precision,Recall,F1 Score,Threshold
Method A (At least one bus),16,0.2596491228070175,0.20754716981132076,0.9821428571428571,0.3426791277258567,5
Method A (All buses),609,0.7894736842105263,0.4142857142857143,0.17261904761904762,0.24369747899159663,5
Method A (p=0.1),0,0.19649122807017544,0.19649122807017544,1.0,0.3284457478005865,5
Method A (p=0.2),16,0.2596491228070175,0.20754716981132076,0.9821428571428571,0.3426791277258567,5
Method A (p=0.5),131,0.7204678362573099,0.36900369003690037,0.5952380952380952,0.45558086560364464,5
Method A (p=0.7),554,0.8116959064327486,0.5220125786163522,0.49404761904761907,0.5076452599388379,5
Method A (p=0.9),601,0.783625730994152,0.4065934065934066,0.22023809523809523,0.2857142857142857,5
"Method B (average, average)",-1,0.8035087719298246,0.0,0.0,0.0,5
"Method B (average, minimum)",507,0.7181286549707603,0.39104477611940297,0.7797619047619048,0.5208747514910537,5
"Method B (average, maximum)",-1,0.8035087719298246,0.0,0.0,0.0,5
"Method B (average, median)",571,0.8128654970760234,0.5317460317460317,0.39880952380952384,0.4557823129251701,5
"Method B (median, average)",-1,0.8035087719298246,0.0,0.0,0.0,5
"Method B (median, minimum)",576,0.775438596491228,0.4189189189189189,0.36904761904761907,0.3924050632911392,5
"Method B (median, maximum)",-1,0.8035087719298246,0.0,0.0,0.0,5
"Method B (median, median)",-1,0.8035087719298246,0.0,0.0,0.0,5
"Method B (outlier_detection, average)",-1,0.8035087719298246,0.0,0.0,0.0,5
"Method B (outlier_detection, minimum)",584,0.7707602339181286,0.39705882352941174,0.32142857142857145,0.35526315789473684,5
"Method B (outlier_detection, maximum)",-1,0.8035087719298246,0.0,0.0,0.0,5
"Method B (outlier_detection, median)",-1,0.8035087719298246,0.0,0.0,0.0,5
Method A (At least one bus),36,0.5052631578947369,0.27191413237924866,0.9047619047619048,0.41815680880330125,10
Method A (All buses),-1,0.8035087719298246,0.0,0.0,0.0,10
Method A (p=0.1),0,0.19649122807017544,0.19649122807017544,1.0,0.3284457478005865,10
Method A (p=0.2),36,0.5052631578947369,0.27191413237924866,0.9047619047619048,0.41815680880330125,10
Method A (p=0.5),586,0.791812865497076,0.44565217391304346,0.24404761904761904,0.3153846153846154,10
Method A (p=0.7),604,0.8222222222222222,0.6538461538461539,0.20238095238095238,0.3090909090909091,10
Method A (p=0.9),-1,0.8035087719298246,0.0,0.0,0.0,10
"Method B (average, average)",-1,0.8035087719298246,0.0,0.0,0.0,10
"Method B (average, minimum)",507,0.7181286549707603,0.39104477611940297,0.7797619047619048,0.5208747514910537,10
"Method B (average, maximum)",-1,0.8035087719298246,0.0,0.0,0.0,10
"Method B (average, median)",571,0.8128654970760234,0.5317460317460317,0.39880952380952384,0.4557823129251701,10
"Method B (median, average)",-1,0.8035087719298246,0.0,0.0,0.0,10
"Method B (median, minimum)",576,0.775438596491228,0.4189189189189189,0.36904761904761907,0.3924050632911392,10
"Method B (median, maximum)",-1,0.8035087719298246,0.0,0.0,0.0,10
"Method B (median, median)",-1,0.8035087719298246,0.0,0.0,0.0,10
"Method B (outlier_detection, average)",-1,0.8035087719298246,0.0,0.0,0.0,10
"Method B (outlier_detection, minimum)",584,0.7707602339181286,0.39705882352941174,0.32142857142857145,0.35526315789473684,10
"Method B (outlier_detection, maximum)",-1,0.8035087719298246,0.0,0.0,0.0,10
"Method B (outlier_detection, median)",-1,0.8035087719298246,0.0,0.0,0.0,10
Method A (At least one bus),55,0.5871345029239766,0.30927835051546393,0.8928571428571429,0.45941807044410415,15
Method A (All buses),-1,0.8035087719298246,0.0,0.0,0.0,15
Method A (p=0.1),0,0.19649122807017544,0.19649122807017544,1.0,0.3284457478005865,15
Method A (p=0.2),55,0.5871345029239766,0.30927835051546393,0.8928571428571429,0.45941807044410415,15
Method A (p=0.5),630,0.8070175438596491,1.0,0.017857142857142856,0.03508771929824561,15
Method A (p=0.7),-1,0.8035087719298246,0.0,0.0,0.0,15
Method A (p=0.9),-1,0.8035087719298246,0.0,0.0,0.0,15
"Method B (average, average)",-1,0.8035087719298246,0.0,0.0,0.0,15
"Method B (average, minimum)",507,0.7181286549707603,0.39104477611940297,0.7797619047619048,0.5208747514910537,15
"Method B (average, maximum)",-1,0.8035087719298246,0.0,0.0,0.0,15
"Method B (average, median)",571,0.8128654970760234,0.5317460317460317,0.39880952380952384,0.4557823129251701,15
"Method B (median, average)",-1,0.8035087719298246,0.0,0.0,0.0,15
"Method B (median, minimum)",576,0.775438596491228,0.4189189189189189,0.36904761904761907,0.3924050632911392,15
"Method B (median, maximum)",-1,0.8035087719298246,0.0,0.0,0.0,15
"Method B (median, median)",-1,0.8035087719298246,0.0,0.0,0.0,15
"Method B (outlier_detection, average)",-1,0.8035087719298246,0.0,0.0,0.0,15
"Method B (outlier_detection, minimum)",584,0.7707602339181286,0.39705882352941174,0.32142857142857145,0.35526315789473684,15
"Method B (outlier_detection, maximum)",-1,0.8035087719298246,0.0,0.0,0.0,15
"Method B (outlier_detection, median)",-1,0.8035087719298246,0.0,0.0,0.0,15
