Bus,Method,GLR Threshold Values,Accuracy,Precision,Recall,F1 Score,False Alarm Rate,Expected Delay,Detection Time
Bus115,Individual GLR,0.01,0.8023391812865497,0.0,0.0,0.0,0.001455604075691412,0,0
Bus116,Individual GLR,0.01,0.8023391812865497,0.0,0.0,0.0,0.001455604075691412,0,4
Bus117,Individual GLR,0.01,0.8023391812865497,0.0,0.0,0.0,0.001455604075691412,0,0
Bus118,Individual GLR,0.01,0.8023391812865497,0.0,0.0,0.0,0.001455604075691412,0,0
Bus119,Individual GLR,0.01,0.8023391812865497,0.0,0.0,0.0,0.001455604075691412,0,0
Bus121,Individual GLR,0.01,0.8023391812865497,0.0,0.0,0.0,0.001455604075691412,0,0
Bus135,Individual GLR,0.01,0.8023391812865497,0.0,0.0,0.0,0.001455604075691412,0,7
Bus139,Individual GLR,0.01,0.8023391812865497,0.0,0.0,0.0,0.001455604075691412,0,6
Bus115,Individual GLR,0.1,0.8023391812865497,0.0,0.0,0.0,0.001455604075691412,0,0
Bus116,Individual GLR,0.1,0.8023391812865497,0.0,0.0,0.0,0.001455604075691412,0,5
Bus117,Individual GLR,0.1,0.8023391812865497,0.0,0.0,0.0,0.001455604075691412,0,0
Bus118,Individual GLR,0.1,0.8023391812865497,0.0,0.0,0.0,0.001455604075691412,0,0
Bus119,Individual GLR,0.1,0.8023391812865497,0.0,0.0,0.0,0.001455604075691412,0,0
Bus121,Individual GLR,0.1,0.8023391812865497,0.0,0.0,0.0,0.001455604075691412,0,1
Bus135,Individual GLR,0.1,0.8023391812865497,0.0,0.0,0.0,0.001455604075691412,0,8
Bus139,Individual GLR,0.1,0.8023391812865497,0.0,0.0,0.0,0.001455604075691412,0,7
Bus115,Individual GLR,1.0,0.8023391812865497,0.0,0.0,0.0,0.001455604075691412,0,1
Bus116,Individual GLR,1.0,0.8023391812865497,0.0,0.0,0.0,0.001455604075691412,0,7
Bus117,Individual GLR,1.0,0.8023391812865497,0.0,0.0,0.0,0.001455604075691412,0,1
Bus118,Individual GLR,1.0,0.8023391812865497,0.0,0.0,0.0,0.001455604075691412,0,2
Bus119,Individual GLR,1.0,0.8023391812865497,0.0,0.0,0.0,0.001455604075691412,0,1
Bus121,Individual GLR,1.0,0.8023391812865497,0.0,0.0,0.0,0.001455604075691412,0,89
Bus135,Individual GLR,1.0,0.8023391812865497,0.0,0.0,0.0,0.001455604075691412,0,12
Bus139,Individual GLR,1.0,0.8023391812865497,0.0,0.0,0.0,0.001455604075691412,0,8
