Method,Detection Time,Accuracy,Precision,Recall,F1 Score
"Method B (average, average)",-1,0.7920792079207921,0.0,0.0,0.0
"Method B (average, minimum)",94,0.32425742574257427,0.23529411764705882,1.0,0.38095238095238093
"Method B (average, maximum)",-1,0.7920792079207921,0.0,0.0,0.0
"Method B (average, median)",-1,0.7920792079207921,0.0,0.0,0.0
"Method B (median, average)",662,0.6113861386138614,0.0,0.0,0.0
"Method B (median, minimum)",91,0.32054455445544555,0.23430962343096234,1.0,0.37966101694915255
"Method B (median, maximum)",-1,0.7920792079207921,0.0,0.0,0.0
"Method B (median, median)",-1,0.7920792079207921,0.0,0.0,0.0
"Method B (outlier_detection, average)",716,0.6782178217821783,0.0,0.0,0.0
"Method B (outlier_detection, minimum)",94,0.32425742574257427,0.23529411764705882,1.0,0.38095238095238093
"Method B (outlier_detection, maximum)",-1,0.7920792079207921,0.0,0.0,0.0
"Method B (outlier_detection, median)",793,0.7735148514851485,0.0,0.0,0.0
